disease,precautions,doctor_info,image_link,wiki_pageid
Fungal infection,"Keep skin clean and dry,Avoid sharing personal items like towels and sports equipment,Wear breathable fabrics,Wash hands frequently,Stay away from public places","Dr. Vikas Bansal,Dermatology,Manipal Hospital",https://images.squarespace-cdn.com/content/v1/61266e982104fd1fe23f9fba/245213c6-1a39-422e-8d20-d378ecc5572f/Fungal-infections.jpg,1530575
Allergy,"Avoid allergens and reduce exposure,Avoid allergen,Use antihistamine,Stay hydrated,Rest adequately,Keep environment clean","Dr. Anil Arora,Allergy & Immunology,Apollo Hospital",https://aaacod.com/wp-content/uploads/2022/11/AAACOD-Allergy-Skin-Hives.jpg,55313
GERD,"Elevate the head to avoid reflux,Avoid lying down after eating,Elevate head while sleeping,Drink water,Take antacids,Avoid spicy foods Get plenty of rest to promote recovery,Avoid fatty foods,Drink water,Get plenty of rest,Avoid alcohol,Eat smaller meals","Dr. Rakesh Kumar,Gastroenterology,Max Super Specialty Hospital",https://blog.healthians.com/wp-content/uploads/2021/04/1119.jpg,196991
Chronic cholestasis,"Discontinue the suspected drug,Discontinue suspected drug,Drink water,Rest adequately,Monitor symptoms,Avoid driving","Dr. Shantanu Sinha,Gastroenterology,BLK Super Specialty Hospital",https://i.ytimg.com/vi/XwYCYob1pns/maxresdefault.jpg,2632843
Drug Reaction,"Take antacid to relieve stomach pain,Take antacid,Avoid spicy foods,Stay hydrated,Rest adequately,Avoid alcohol","Dr. Rajeev Kumar,Infectious Diseases,AIIMS",https://th.bing.com/th/id/OIP.RP7c5cZYzh6aJQlr3Y8YcAHaGE?rs=1&pid=ImgDetMain,1274833
Peptic ulcer diseae,"Use protection to avoid spreading, Avoid unprotected sex,Avoid sharing needles,Use protective barriers,Rest adequately,Stay hydrated","Dr. Aniruddha Choudhary,Gastroenterology,Fortis Hospital",https://th.bing.com/th/id/OIP.8rT9HaulZEjqaKITIl7y6gAAAA?rs=1&pid=ImgDetMain,63791
AIDS,"Monitor blood sugar levels,Monitor blood sugar,Avoid sugary foods,Stay hydrated,Eat balanced meals,Rest adequately","Dr. Shankar Chugh,Infectious Diseases,Fortis Hospital",https://th.bing.com/th/id/OIP.Sz2MgkGeZwxtdBJhYGSxzgHaE7?rs=1&pid=ImgDetMain,5069516
Diabetes,"Monitor blood sugar levels,Monitor blood sugar,Avoid sugary foods,Stay hydrated,Eat balanced meals,Rest adequately","Dr. P.K. Dutta,Endocrinology,Fortis Hospital",https://api.time.com/wp-content/uploads/2018/03/glucose-monitor-diabetes.jpg,40017873
Gastroenteritis,"Drink water to prevent dehydration,Drink water,Avoid solid foods,Rest adequately,Use electrolyte solution,Avoid dairy","Dr. Ramesh K. Agarwal,Gastroenterology,Max Super Specialty Hospital",https://api.parashospitals.com/uploads/2020/06/Gastroenteritis.jpg,869123
Bronchial Asthma,"Use inhaler immediately,Use inhaler,Avoid allergens,Sit upright,Breathe slowly,Stay calm","Dr. Sandeep Vaishya,Pulmonology,Fortis Hospital",https://th.bing.com/th/id/OIP.50AwRQgiSBiitWdCsHtrMQHaEK?rs=1&pid=ImgDetMain,44905
Hypertension,"Rest in a quiet place,Rest in quiet place,Avoid stress,Take deep breaths,Monitor blood pressure,Drink water","Dr. Rajeev Kumar,Cardiology,Fortis Hospital",https://thumbs.dreamstime.com/z/hypertension-high-blood-pressure-illness-patient-blood-pressure-monitoring-measurement-digital-sphygmomanometer-207331808.jpg,77432
Migraine,"Rest in a dark room,Rest in dark room,Avoid loud noises,Stay hydrated,Apply cold compress,Take pain reliever","Dr. Mukesh Kumar,Neurology,AIIMS",https://energyperformancelighting.com/wp-content/uploads/2019/06/migraines-headaches-2.jpg,21035
Cervical spondylosis,"Use proper neck support,Use neck support,Avoid heavy lifting,Apply heat or cold,Rest adequately,Maintain good posture","Dr. Sandeep Vaishya,Neurology,Fortis Hospital",https://i.pinimg.com/originals/9d/a7/77/9da777ee1cac24ae61bb566cfa79669a.jpg,1017755
Paralysis (brain hemorrhage),"Call emergency services immediately,Call emergency services,Keep person comfortable,Elevate head,Do not give food or drink,Stay with the person","Dr. Ramesh K. Agarwal,Neurology,Max Super Specialty Hospital",https://th.bing.com/th/id/OIP.P2Z9f4ChY35fQcCygjCc8gHaE9?rs=1&pid=ImgDetMain,2959528
Jaundice,"Drink plenty of water,Drink water,Avoid fatty foods,Rest adequately,Avoid alcohol,Eat balanced meals","Dr. Harshvardhan K. Shukla,Hepatology,Max Super Specialty Hospital",https://th.bing.com/th/id/OIP.oziBNI2ealTn6vrRaiavqgHaLJ?rs=1&pid=ImgDetMain,65980
Malaria,"Avoid mosquito bites,Avoid mosquito bites,Use mosquito repellent,Stay indoors at dusk,Drink water,Rest adequately","Dr. Vikas Bansal,Infectious Diseases,Manipal Hospital",https://th.bing.com/th/id/OIP.9nYZNJeEVPyKvVYQicLhDQHaEK?rs=1&pid=ImgDetMain,20423
