disease_name,precautions,doctor_name,specialty,hospital,wiki_pageid,wiki_img
Fungal infection,"Keep skin clean and dry,Avoid sharing personal items like towels and sports equipment,Wear breathable fabrics,Wash hands frequently,Stay away from public places",Dr. Vikas Bansal,Dermatology,Manipal Hospital,1530575,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Pulmonary_aspergillosis.jpg/300px-Pulmonary_aspergillosis.jpg
Allergy,"Avoid allergens and reduce exposure,Use antihistamine,Stay hydrated,Rest adequately,Keep environment clean",Dr. Anil Arora,Allergy & Immunology,Apollo Hospital,55313,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Hives2010.JPG/300px-Hives2010.JPG
GERD,"Elevate the head to avoid reflux,Avoid lying down after eating,Drink water,Take antacids,Get plenty of rest to promote recovery,Avoid fatty foods,Avoid alcohol,Eat smaller meals",Dr. Rakesh Kumar,Gastroenterology,Max Super Specialty Hospital,196991,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Gastroesophageal_reflux_barium_X-ray.jpg/300px-Gastroesophageal_reflux_barium_X-ray.jpg
Chronic cholestasis,"Discontinue the suspected drug,Drink water,Rest adequately,Monitor symptoms,Avoid driving",Dr. Shantanu Sinha,Gastroenterology,BLK Super Specialty Hospital,2632843,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Cholestasis_high_mag.jpg/300px-Cholestasis_high_mag.jpg
Drug Reaction,"Take antacid to relieve stomach pain,Avoid spicy foods,Stay hydrated,Rest adequately,Avoid alcohol",Dr. Rajeev Kumar,Infectious Diseases,AIIMS,1274833,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Drugreaction.jpg/300px-Drugreaction.jpg
Peptic ulcer disease,"Use protection to avoid spreading,Avoid sharing needles,Use protective barriers,Rest adequately,Stay hydrated",Dr. Aniruddha Choudhary,Gastroenterology,Fortis Hospital,63791,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Deep_gastric_ulcer.png/300px-Deep_gastric_ulcer.png
AIDS,"Use condoms during sexual intercourse, Get tested regularly for HIV,Take pre-exposure prophylaxis (PrEP), Ensure blood products are screened, Educate yourself and others about HIV/AIDS",Dr. Shankar Chugh,Infectious Diseases,Fortis Hospital,5069516,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Red_Ribbon.svg/300px-Red_Ribbon.svg.png
Diabetes,"Monitor blood sugar levels,Avoid sugary foods,Stay hydrated,Eat balanced meals,Rest adequately",Dr. P.K. Dutta,Endocrinology,Fortis Hospital,40017873,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Blue_circle_for_diabetes.svg/300px-Blue_circle_for_diabetes.svg.png
Gastroenteritis,"Drink water to prevent dehydration,Avoid solid foods,Rest adequately,Use electrolyte solution,Avoid dairy",Dr. Ramesh K. Agarwal,Gastroenterology,Max Super Specialty Hospital,869123,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Gastroenteritis_viruses.jpg/300px-Gastroenteritis_viruses.jpg
Bronchial Asthma,"Use inhaler,Avoid allergens,Sit upright,Breathe slowly,Stay calm",Dr. Sandeep Vaishya,Pulmonology,Fortis Hospital,44905,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Asthma_attack.PNG/300px-Asthma_attack.PNG
Hypertension,"Rest in a quiet place,Avoid stress,Take deep breaths,Monitor blood pressure,Drink water",Dr. Rajeev Kumar,Cardiology,Fortis Hospital,77432,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Grade_1_hypertension.jpg/300px-Grade_1_hypertension.jpg
Migraine,"Rest in dark room,Avoid loud noises,Stay hydrated,Apply cold compress,Take pain reliever",Dr. Mukesh Kumar,Neurology,AIIMS,21035,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Migraine.jpg/300px-Migraine.jpg
Cervical spondylosis,"Use proper neck support,Avoid heavy lifting,Apply heat or cold,Rest adequately,Maintain good posture",Dr. Sandeep Vaishya,Neurology,Fortis Hospital,1017755,https://upload.wikimedia.org/wikipedia/commons/4/41/Thoracic_Spondylosis.JPG
Paralysis (brain hemorrhage),"Call emergency services,Keep person comfortable,Elevate head,Do not give food or drink,Stay with the person",Dr. Ramesh K. Agarwal,Neurology,Max Super Specialty Hospital,2959528,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Intracerebral_hemorrage_%28CT_scan%29.jpg/300px-Intracerebral_hemorrage_%28CT_scan%29.jpg
